"番剧名称","追番数","集数","上映时间"
"小猪佩奇之好习惯养成 中文配音","99.4万追番","全25话","2月6日开播"
"小猪佩奇之好友侦探社","126追番","全12话","2月7日开播"
"小猪佩奇之好友侦探社 中文配音","317追番","全12话","2月7日开播"
"小猪佩奇之幼儿园生活","185追番","全20话","2月6日开播"
"小猪佩奇之幼儿园生活 中文配音","620追番","全20话","2月6日开播"
"小猪佩奇之新朋友相遇季","157追番","全29话","2月10日开播"
"小猪佩奇之新朋友相遇季 中文配音","300追番","全29话","2月10日开播"
"小猪佩奇之泥坑跳跳乐","106追番","全13话","2月7日开播"
"小猪佩奇之泥坑跳跳乐 中文配音","273追番","全13话","2月7日开播"
"小猪佩奇之美食总动员","125追番","全8话","2月11日开播"
"小猪佩奇之美食总动员 中文配音","1178追番","全8话","2月11日开播"
"小猪佩奇之职业大探索","250追番","全27话","2月8日开播"
"小猪佩奇之职业大探索 中文配音","315追番","全27话","2月8日开播"
"小猪佩奇之节日狂欢夜","133追番","全14话","2月8日开播"
"小猪佩奇之节日狂欢夜 中文配音","619追番","全14话","2月8日开播"
"小猪佩奇之蹦蹦跳跳身体好","105追番","全11话","2月10日开播"
"小猪佩奇之蹦蹦跳跳身体好 中文配音","327追番","全11话","2月10日开播"
"小猪佩奇之逆商成长记","113追番","全20话","2月9日开播"
"小猪佩奇之逆商成长记 中文配音","589追番","全20话","2月9日开播"
"小猪佩奇学英语绘本故事","2.3万追番","全208话","24年4月开播"
"小猪佩奇迷你剧 第三季 中文配音","4.6万追番","全20话","2月11日开播"
"小猪佩奇迷你剧 第二季","1.5万追番","全20话","25年1月开播"
"小猪佩奇迷你剧 第二季 中文配音","2.7万追番","全20话","25年1月开播"
"小白角","1.7万追番","全1话","81年3月开播"
"小碧蓝幻想！","14.8万追番","全12话","20年10月开播"
"小羊肖恩 冠军羊","2482追番","全21话","24年9月开播"
"小羊肖恩 第一季","2.4万追番","全40话","24年9月开播"
"小羊肖恩 第二季","5798追番","全40话","24年9月开播"
"小羊驼拉玛 中文配音","5228追番","全50话","22年6月开播"
"小美人鱼","1.2万追番","全13话","23年9月开播"
"小美人鱼 中文配音","6053追番","全13话","23年9月开播"
"小马国大小事 第一季(上)","163.5万追番","全36话","25年2月开播"
"小马国大小事 第一季(上) 中文配音","163.2万追番","全36话","25年2月开播"
"小马国大小事 第一季(下)","161万追番","全34话","25年8月开播"
"小马国大小事 第一季(下) 中文配音","160.9万追番","全34话","25年8月开播"
"小马国大小事 第二季","159.6万追番","全23话","2月19日开播"
"小马国大小事 第二季 中文配音","161.6万追番","全23话","2月19日开播"
"小马宝莉 友谊的魔力 第九季","93.2万追番","全26话","23年12月开播"
"小马宝莉 友谊的魔力 第九季 中文配音","63.8万追番","全26话","23年12月开播"
"小马宝莉 友谊的魔力 第八季（中配）","30.3万追番","全26话","18年3月开播"
"小马宝莉 友谊的魔法 第一季 中文配音","182.1万追番","全26话","25年5月开播"
"小马宝莉 友谊魔法 第一季","77.8万追番","全26话","10年10月开播"
"小马宝莉 友谊魔法 第七季","177.4万追番","全26话","25年5月开播"
"小马宝莉 友谊魔法 第三季 中文配音","178.5万追番","全13话","25年5月开播"
"小马宝莉 友谊魔法 第二季","30.9万追番","全26话","11年9月开播"
"小马宝莉 友谊魔法 第二季 中文配音","179万追番","全26话","25年5月开播"
"小马宝莉 友谊魔法 第五季","24万追番","全26话","15年4月开播"
"小马宝莉 友谊魔法 第五季 中文配音","34.5万追番","全26话","15年4月开播"
"小马宝莉 友谊魔法 第八季","24.2万追番","全26话","18年3月开播"
"小马宝莉 友谊魔法 第六季","177.5万追番","全26话","25年5月开播"
"小马宝莉 友谊魔法 第六季 中文配音","38.6万追番","全26话","16年3月开播"
"小马宝莉 友谊魔法 第四季 中文配音","178.6万追番","全26话","25年5月开播"
"小马宝莉：我的可爱标志","94.5万追番","全31话","2024-05-17 中期更新开播"
"小马宝莉：我的可爱标志 中文配音","47.6万追番","全31话","2024-05-17 中期更新开播"
"小马宝莉之魔力新世界 第一季","92.8万追番","全26话","23年8月开播"
"小马宝莉之魔力新世界 第一季 中文配音","8.1万追番","全26话","23年8月开播"
"小马宝莉之魔力新世界 第二季","167.1万追番","全14话","24年12月开播"
"小马宝莉之魔力新世界 第二季 中文配音","167万追番","全14话","24年12月开播"
"小魔女学园","29.6万追番","全1话","13年3月开播"
"小黄人大眼萌：神偷奶爸前传","16.9万追剧","2022年6月13日上映","22年12月开播"
"小黄人特辑1","47.8万追番","全1话","25年3月开播"
"小黄人特辑1 中文配音","2200追番","全1话","25年3月开播"
"小黄人特辑2","6099追番","全1话","25年3月开播"
"小黄人特辑2 中文配音","1433追番","全1话","25年3月开播"
"少女☆歌剧 Revue Starlight","100.6万追番","全12话","18年7月开播"
"少女☆歌剧Revue Starlight -The LIVE- #1 revival","8.2万追番","全1话","19年4月开播"
"少女☆歌剧Revue Starlight -The LIVE- #2 Transition","10万追番","全1话","19年7月开播"
"少女乐队的呐喊","97.3万追番","全13话","24年12月开播"
"少女们向荒野进发 OVA","5.3万追番","全1话","16年3月开播"
"少女前线","101万追番","全12话","22年1月开播"
"少女手工","31.2万追番","全12话","22年11月开播"
"少女终末旅行","275.6万追番","全12话","17年10月开播"
"少女编号","126.9万追番","全12话","16年10月开播"
"少年剑道王直角","1828追番","全36话","91年1月开播"
"少年阿贝 GO!GO!小芝麻","2.3万追番","全32话","16年4月开播"
"少年阿贝 GO!GO!小芝麻 第三季","1.3万追番","全32话","18年4月开播"
"少年阿贝 GO!GO!小芝麻 第四季","1.1万追番","全24话","19年4月开播"
"少年骇客 第一季","5.1万追番","全13话","25年5月开播"
"少年骇客 第三季 中文配音","3.2万追番","全13话","25年5月开播"
"少年骇客 第二季","9067追番","全13话","25年5月开播"
"尸者的帝国","35.6万追番","全1话","15年10月开播"
"尼尔：自动人形","77.4万追番","全24话","2024年9月4日开播"
"尽管如此世界依然美丽","113.3万追番","全12话","14年4月开播"
"屁屁吾郎","16.2万追番","全13话","16年7月开播"
"展开骑士","1.8万追番","全51话","14年4月开播"
"属性咖啡厅","266.8万追番","全12话","17年10月开播"
"山田君与7人魔女 OAD","29.5万追番","全2话","14年12月开播"
"岩窟王","17.9万追番","全24话","04年10月开播"
"岸边露伴 一动也不动","514.4万追番","全4话","21年2月开播"
"川之光","2.5万追番","全1话","09年6月开播"
"川尻小玉的懒散生活","18.5万追番","全24话","22年1月开播"
"川柳少女","181.7万追番","全12话","19年4月开播"
"工作狂人","2.8万追番","全11话","06年10月开播"
"工作细胞","845.4万追番","全14话","18年7月开播"
"工作细胞 第二季","838.4万追番","全8话","21年1月开播"
"工作细胞 第二季（中配版）","48.9万追番","全8话","21年6月开播"
"工作细胞：细胞大作战","899.6万追剧","2021年4月9日上映","21年8月开播"
"工作细胞（中配版）","71万追番","全14话","21年2月开播"
"工作细胞BLACK","317.8万追番","全13话","21年1月开播"
"巧克力小狗","9457追番","全1话","13年4月开播"
"巴克·亚罗/BACK ARROW","100.3万追番","全24话","21年1月开播"
"巴塔故事时间","460追番","全36话","24年3月开播"
"巴塔木ABC","1165追番","全26话","24年3月开播"
"巴塔木ABC英语学习","2093追番","全26话","24年3月开播"
"巴塔木合集","1382追番","全21话","24年3月开播"
"巴塔木小巧手","1780追番","全11话","24年3月开播"
"巴塔木故事 第一季","2.4万追番","全52话","21年5月开播"
"巴塔木数理逻辑儿歌","1486追番","全19话","24年3月开播"
"巴塔木流行儿歌 第一季","1.8万追番","全43话","24年3月开播"
"巴塔木流行儿歌 第三季","1.7万追番","全41话","21年5月开播"
"巴塔木流行儿歌 第二季","988追番","全33话","24年3月开播"
"巴塔木流行儿歌 第四季","1180追番","全24话","24年8月开播"
"巴塔木特攻队","1178追番","全52话","24年3月开播"
"巴塔木童谣","906追番","全26话","24年3月开播"
"巴塔木自然拼读系列儿歌","6.1万追番","全23话","21年5月开播"
"巴塔说 第一季","871追番","全12话","24年3月开播"
"巴塔说 第二季","5541追番","全12话","21年5月开播"
"布莱泽奥特曼","68.6万追番","全28话","23年7月开播"
"布莱泽奥特曼 大电影 大怪兽东京决战","59.1万追番","全1话","24年2月开播"
"布莱泽奥特曼 大电影 大怪兽东京决战（中配）","4.9万追番","全1话","24年2月开播"
"布莱泽奥特曼（中配）","6.7万追番","全28话","23年7月开播"
"布雷斯塔警长","1.2万追番","全65话","87年9月开播"
"布鲁伊 第一季","10万追番","全52话","23年4月开播"
"布鲁伊 第三季 中文配音","4.6万追番","全52话","23年4月开播"
"布鲁伊 第二季","3.2万追番","全52话","23年4月开播"
"布鲁伊 第二季 中文配音","4.1万追番","全52话","23年4月开播"
"布鲁伊迷你剧 第一季","17.5万追番","全20话","25年7月开播"
"布鲁伊迷你剧 第一季 中文配音","17.2万追番","全20话","25年7月开播"
"希德尼娅的骑士 第一季","48.7万追番","全12话","14年4月开播"
"希德尼娅的骑士：织爱之星","8.7万追剧","2021年5月14日上映","23年9月开播"
"希曼的新冒险","6238追番","全65话","90年9月开播"
"希维司：英雄之声","5.9万追番","更新至第12话","25年10月开播"
"帕卢姆之树","4.1万追番","全1话","02年3月开播"
"幕末Rock","5.3万追番","全12话","14年7月开播"
"幕末替身传说","38.9万追番","全12话","22年7月开播"
"干支魂～猫客万来～","11万追番","全1话","21年5月开播"
"干物妹！小埋","557.5万追番","全12话","15年7月开播"
"干物妹！小埋 OVA","86.4万追番","全2话","15年10月开播"
"干物妹！小埋 中配版","37.1万追番","全12话","21年7月开播"
"干物妹！小埋 粤配版","4.7万追番","全12话","22年1月开播"
"干物妹！小埋R","517.7万追番","全12话","17年10月开播"
"干物妹！小埋R 中配版","16.6万追番","全12话","21年8月开播"
"干物妹！小埋R 粤配版","2.8万追番","全12话","22年2月开播"
"平凡职业造就世界最强","382.3万追番","全14话","19年7月开播"
"平家物语","114.6万追番","全11话","21年9月开播"
"平家物语：犬王","6.5万追剧","2022年5月28日上映","23年10月开播"
"年老的鳄鱼","2万追番","全1话","06年8月开播"
"幸福之祈祷","6729追番","全1话","05年8月开播"
"幸腹涂鸦","39.8万追番","全12话","15年1月开播"
"幸运星","181.1万追番","全25话","07年4月开播"
"幸运逻辑","13.6万追番","全12话","16年1月开播"
"幻想叙谭艾尔西亚","6618追番","全4话","92年10月开播"
"幻想嘉年华","159.6万追番","全12话","11年8月开播"
"幻想嘉年华 Special Season","32.7万追番","全1话","13年1月开播"
"幻梦战记莉达","6668追番","全1话","85年3月开播"
"幻界战线","289.7万追番","全12话","15年4月开播"
"幻界战线 & BEYOND","202.9万追番","全12话","17年10月开播"
"幽游白书","55.1万追番","全112话","92年10月开播"
"库拉乌幻之记忆","4.3万追番","全24话","04年6月开播"
"废弃公主","21.6万追番","全24话","03年4月开播"
"开挂药师的奇幻世界悠闲生活","104.1万追番","全12话","21年7月开播"
"弁魔士塞西尔","17.3万追番","全12话","14年1月开播"
"异世界居酒屋～古都阿伊特力亚的居酒屋阿信～","64.2万追番","全12话","18年4月开播"
"异世界迷宫黑心企业","345.8万追番","全12话","21年7月开播"
"异世界食堂","225.5万追番","全12话","17年7月开播"
"异度传说","4.8万追番","全12话","05年1月开播"
"异度侵入 ID:INVADED","519万追番","全13话","20年1月开播"
"异想食堂  / 异世界食堂 第二季","203.4万追番","全12话","22年1月开播"
"异界少女召唤术","179.1万追番","全12话","18年7月开播"
"异界群敌 代码重组","39.8万追番","全12话","19年10月开播"
"式守同学不只可爱而已","266.8万追番","全12话","22年5月开播"
"弦音 -连结的一射-","152.7万追番","全13话","23年6月开播"
"弦音 -风舞高中弓道部-","174.2万追番","全14话","18年10月开播"
"弱势角色友崎君","228.1万追番","全14话","21年1月开播"
"弱酸性百万亚瑟王","4.1万追番","全48话","15年11月开播"
